,jID,moment,cpu_rate,mem_usage,disk_io_time,disk_space
2011-05-01 00:10:00,5402488769,600000000.0,0.20620393,3.8060229,0.0147421956,0.0003843411
2011-05-01 00:11:00,5402488769,660000000.0,0.20620393,3.8060229,0.0147421956,0.0003843411
2011-05-01 00:12:00,5402488769,720000000.0,0.20620393,3.8060229,0.0147421956,0.0003843411
2011-05-01 00:13:00,5402488769,780000000.0,0.20620393,3.8060229,0.0147421956,0.0003843411
2011-05-01 00:14:00,5402488769,840000000.0,0.20620393,3.8060229,0.0147421956,0.0003843411
2011-05-01 00:15:00,5402488769,900000000.0,0.20627538,3.8062974,0.0143970004,0.0003852948
2011-05-01 00:16:00,5402488769,960000000.0,0.20665398,3.8067887,0.0154250784,0.0003852948
2011-05-01 00:17:00,5402488769,1020000000.0,0.20665398,3.8067887,0.0154250784,0.0003852948
2011-05-01 00:18:00,5402488769,1080000000.0,0.20665588,3.8058026,0.0154689514,0.0003852948
2011-05-01 00:19:00,5402488769,1140000000.0,0.20711744,3.8070516,0.0164301714,0.0003852948
2011-05-01 00:20:00,5402488769,1200000000.0,0.20595693,3.805959,0.0145382094,0.0003852948
2011-05-01 00:21:00,5402488769,1260000000.0,0.20595693,3.805959,0.0145382094,0.0003852948
2011-05-01 00:22:00,5402488769,1320000000.0,0.20595693,3.805959,0.0145382094,0.0003852948
2011-05-01 00:23:00,5402488769,1380000000.0,0.20595693,3.805959,0.0145382094,0.0003852948
2011-05-01 00:24:00,5402488769,1440000000.0,0.20595693,3.805959,0.0145382094,0.0003852948
2011-05-01 00:25:00,5402488769,1500000000.0,0.20601591,3.8060892,0.0140909279,0.0003852948
2011-05-01 00:26:00,5402488769,1560000000.0,0.20601591,3.8060892,0.0140909279,0.0003852948
2011-05-01 00:27:00,5402488769,1620000000.0,0.20621813,3.8064987,0.0146011279,0.0003852948
2011-05-01 00:28:00,5402488769,1680000000.0,0.20621813,3.8064987,0.0146011279,0.0003852948
2011-05-01 00:29:00,5402488769,1740000000.0,0.20621813,3.8064987,0.0146011279,0.0003852948
2011-05-01 00:30:00,5402488769,1800000000.0,0.20438447,3.8030562,0.0146860783,0.0003852948
2011-05-01 00:31:00,5402488769,1860000000.0,0.20481557,3.8052982,0.0154117783,0.0003852948
2011-05-01 00:32:00,5402488769,1920000000.0,0.20481557,3.8052982,0.0154117783,0.0003852948
2011-05-01 00:33:00,5402488769,1980000000.0,0.20479268,3.804374068,0.0154108246,0.0003852948
2011-05-01 00:34:00,5402488769,2040000000.0,0.20535726,3.8056853,0.0168448246,0.0003852948
2011-05-01 00:35:00,5402488769,2100000000.0,0.20794332,3.8050297,0.0141041827,0.0003852948
2011-05-01 00:36:00,5402488769,2160000000.0,0.20814932,3.8062337,0.0146696827,0.0003852948
2011-05-01 00:37:00,5402488769,2220000000.0,0.22441905,3.794186607,0.0519235343,0.0003852948
2011-05-01 00:38:00,5402488769,2280000000.0,0.21723396,3.8151157,0.0395982163,0.0003843411
2011-05-01 00:39:00,5402488769,2340000000.0,0.21717006,3.8141954,0.0395972626,0.0003843411
2011-05-01 00:40:00,5402488769,2400000000.0,0.21203892,3.8081326,0.0142625805,0.0003852948
2011-05-01 00:41:00,5402488769,2460000000.0,0.2143878,3.80362121,0.0150503678,0.0003852948
2011-05-01 00:42:00,5402488769,2520000000.0,0.2135506,3.8105795,0.0180771908,0.0003852948
2011-05-01 00:43:00,5402488769,2580000000.0,0.2135506,3.8105795,0.0180771908,0.0003852948
2011-05-01 00:44:00,5402488769,2640000000.0,0.2141648,3.8118895,0.0192121908,0.0003852948
2011-05-01 00:45:00,5402488769,2700000000.0,0.21024579,3.8047204,0.014560154,0.0003852948
2011-05-01 00:46:00,5402488769,2760000000.0,0.21024579,3.8047204,0.014560154,0.0003852948
2011-05-01 00:47:00,5402488769,2820000000.0,0.21024579,3.8047204,0.014560154,0.0003852948
2011-05-01 00:48:00,5402488769,2880000000.0,0.21048323,3.8049256,0.015480447,0.0003852948
2011-05-01 00:49:00,5402488769,2940000000.0,0.21048323,3.8049256,0.015480447,0.0003852948
2011-05-01 00:50:00,5402488769,3000000000.0,0.21020185,3.8048766,0.0141881482,0.0003852948
2011-05-01 00:51:00,5402488769,3060000000.0,0.21045835,3.8060116,0.0145038482,0.0003852948
2011-05-01 00:52:00,5402488769,3120000000.0,0.21045835,3.8060116,0.0145038482,0.0003852948
2011-05-01 00:53:00,5402488769,3180000000.0,0.21045072,3.805100829,0.0145143372,0.0003852948
2011-05-01 00:54:00,5402488769,3240000000.0,0.21083119,3.8061942,0.0145162472,0.0003852948
2011-05-01 00:55:00,5402488769,3300000000.0,0.2109563,3.8057808,0.0145534989,0.0003862485
2011-05-01 00:56:00,5402488769,3360000000.0,0.21169923,3.8048824,0.0145859279,0.0003862485
2011-05-01 00:57:00,5402488769,3420000000.0,0.21102303,3.804222,0.0150704329,0.0003862485
2011-05-01 00:58:00,5402488769,3480000000.0,0.21157713,3.806602,0.0166583329,0.0003862485
2011-05-01 00:59:00,5402488769,3540000000.0,0.21196142,3.8069821,0.0178776109,0.0003862485
2011-05-01 01:00:00,5402488769,3600000000.0,0.21359831,3.8055151,0.0143531339,0.0003862485
2011-05-01 01:01:00,5402488769,3660000000.0,0.21359831,3.8055151,0.0143531339,0.0003862485
2011-05-01 01:02:00,5402488769,3720000000.0,0.21359831,3.8055151,0.0143531339,0.0003862485
2011-05-01 01:03:00,5402488769,3780000000.0,0.21359831,3.8055151,0.0143531339,0.0003862485
