Nodes,Score
56,0.00111362164825
77,0.000841395742021
42,0.000933275559115
29,0.0033708749257
60,0.000795799460567
61,0.0010320707162
62,0.000501355423074
63,0.000682877408464
64,0.000440944484851
53,0.000901909751004
66,0.00084060379525
67,0.000485287415139
68,0.000640023960199
69,0.000890003849866
52,0.00111484385004
48,0.00106429324263
49,0.000689027934389
46,0.000680170518828
47,0.00108077631244
44,0.000641343474274
45,0.00154653032337
28,0.00235718631062
43,0.00161650889717
40,0.00146036023524
41,0.00119237383787
65,0.000550807460664
76,0.000701519294931
75,0.00066838098869
74,0.00118392416906
73,0.000508062628823
72,0.000543790781945
71,0.000676131857866
70,0.000517757359307
79,0.000883192117795
78,0.000578907369744
51,0.00131818401461
39,0.000840792680305
38,0.000951173547785
59,0.000759144331978
58,0.000773799018618
33,0.0017103662032
32,0.00125982281746
31,0.00210410253283
30,0.00106394577563
37,0.00129003379684
36,0.00165571643129
35,0.000872546065953
34,0.00159203278533
55,0.000325429462593
54,0.000826212437012
57,0.000791011903732
50,0.00114812768431
