best_estimator,n_sliding,score
"ACOEstimator(Q=0.65, const_sd=0.1, epsilon=0.5, error_criteria=0.9,
       max_epochs=100, neural_shape=[76, 55, 38], number_of_solutions=130,
       number_of_weights=None)",2,0.0274168483206
"ACOEstimator(Q=0.65, const_sd=0.1, epsilon=0.5, error_criteria=0.9,
       max_epochs=100, neural_shape=[114, 55, 38], number_of_solutions=130,
       number_of_weights=None)",3,0.0254529234624
"ACOEstimator(Q=0.7, const_sd=0.1, epsilon=0.5, error_criteria=0.9,
       max_epochs=100, neural_shape=[152, 55, 38], number_of_solutions=130,
       number_of_weights=None)",4,0.0211568165556
"ACOEstimator(Q=0.75, const_sd=0.1, epsilon=0.5, error_criteria=0.9,
       max_epochs=100, neural_shape=[190, 55, 38], number_of_solutions=130,
       number_of_weights=None)",5,0.028613860695
"ACOEstimator(Q=0.75, const_sd=0.1, epsilon=0.5, error_criteria=0.9,
       max_epochs=100, neural_shape=[228, 55, 38], number_of_solutions=130,
       number_of_weights=None)",6,0.0249022260523
"ACOEstimator(Q=0.7, const_sd=0.1, epsilon=0.5, error_criteria=0.9,
       max_epochs=100, neural_shape=[266, 55, 38], number_of_solutions=130,
       number_of_weights=None)",7,0.0377424444983
"ACOEstimator(Q=0.7, const_sd=0.1, epsilon=0.5, error_criteria=0.9,
       max_epochs=100, neural_shape=[304, 55, 38], number_of_solutions=130,
       number_of_weights=None)",8,0.0223586311085
"ACOEstimator(Q=0.75, const_sd=0.1, epsilon=0.5, error_criteria=0.9,
       max_epochs=100, neural_shape=[342, 55, 38], number_of_solutions=130,
       number_of_weights=None)",9,0.0261709173624
"ACOEstimator(Q=0.65, const_sd=0.1, epsilon=0.5, error_criteria=0.9,
       max_epochs=100, neural_shape=[380, 55, 38], number_of_solutions=130,
       number_of_weights=None)",10,0.0315879055989
